SCHL	fod1p	_TYPE_	_FREQ_	p50adj_wagp	p25adj_wagp	p75adj_wagp	mean_grad_degree	mean_grad_degree_all	mean_employed	pct_ts	pct_tsg	dboost	boost	pct_ts_all	pct_tsg_all	gths_mean	gthsftfy_mean	gmajor
Bachelors	Anthropology and Archeology	7	2312	44562.64835	30946.28357	69987.66603	0	0	0.936246964	0.003075029	0.045204132			0.00340819	0.049909428	0.635573075	0.689838129	Social sciences
Bachelors	Criminology	7	1592	51577.13929	36000	74271.08058	0	0	0.950409333	0.002251704	0.033100928			0.002113688	0.030952774	0.769144645	0.787759404	Social sciences
Bachelors	Geography	7	2454	55363.37761	39714.39725	78642.85714	0	0	0.935899507	0.003091733	0.045449693			0.003142169	0.046013829	0.756007078	0.827778011	Social sciences
Bachelors	International Relations	7	1375	58000	39694.49715	92838.85072	0	0	0.938763359	0.001924685	0.02829362			0.001994246	0.029203674	0.74576763	0.832625805	Social sciences
Bachelors	Political Science and Government	7	13723	60000	40000	94371.42857	0	0	0.939396761	0.018899999	0.277837389			0.018948276	0.277477955	0.774395904	0.832602985	Social sciences
Bachelors	Sociology	7	11394	47185.71429	33554.28571	70000	0	0	0.943264775	0.015152451	0.222746962			0.015523748	0.227329271	0.71712339	0.759823134	Social sciences
Bachelors	Miscellaneous Social Sciences	7	315	54000	41261.71143	82523.42286	0	0	0.949840347	0.000409659	0.006022146			0.000415235	0.006080687	0.74821433	0.827872226	Social sciences
Graduate degree	General Agriculture	7	783	67050.28107	43872.86528	100000	1	1	0.972501226	0.001739194	0.15148173	16298.37602	0.321138211	0.001646249	0.149781938	0.825094631	0.866341605	Agriculture and natural resources
Graduate degree	Agricultural Economics	7	337	82523.42286	58497.1537	123785.1343	1	1	0.981132076	0.000682872	0.059477366	19847.90104	0.316677077	0.000618334	0.056258387	0.872059394	0.923504072	Agriculture and natural resources
Graduate degree	Animal Sciences	7	1509	72207.995	50000	103154.2786	1	1	0.986910467	0.003017793	0.262846162	25201.35364	0.536123256	0.002867044	0.260854469	0.858119361	0.895746074	Agriculture and natural resources
Graduate degree	Food Science	7	325	71032.25807	50140.41746	108000	1	1	0.972720396	0.000715253	0.062297707	6045.062562	0.093019287	0.000758966	0.06905361	0.848738067	0.889374418	Agriculture and natural resources
Graduate degree	Plant Science and Agronomy	7	681	67108.57143	45962.04934	100000	1	1	0.972083156	0.001387279	0.120830289	15204.28571	0.292929293	0.001328334	0.120856817	0.829354615	0.887534167	Agriculture and natural resources
Graduate degree	Soil Science	7	68	74000	52229.60152	95420	1	1	0.987516994	0.000135039	0.011761762	6891.428571	0.102690736	0.00013606	0.012379227	0.786449865	0.898230089	Agriculture and natural resources
Graduate degree	Miscellaneous Agriculture	7	559	65000	44356.33979	100000	1	1	0.959876388	0.001073075	0.093463575	12391.31793	0.235537509	0.00100922	0.091822665	0.867886959	0.886235624	Agriculture and natural resources
Graduate degree	Forestry	7	534	76545.71429	53000	108002.8571	1	1	0.97487242	0.0010728	0.093439555	16545.71429	0.275761905	0.001007026	0.091623054	0.877155725	0.919838907	Agriculture and natural resources
Graduate degree	Natural Resources Management	7	820	68943.074	49514.05372	100059.6502	1	1	0.973349485	0.001657909	0.144401854	16334.39193	0.310488522	0.001619738	0.147369834	0.854090785	0.913779959	Agriculture and natural resources
Graduate degree	Architecture	7	3074	73121.44213	50000	103154.2786	1	1	0.928929353	0.006954824	0.065343193	9401.328273	0.147540984	0.006998319	0.071299746	0.828061487	0.900144402	Architecture and engineering
